tree_id_nu,health_rat,sample_ndvi,species,method
NM22,good,0.803150177001953,ACPL,point
NM20,good,0.842457175254822,ACPL,point
WRC23,fair,0.81377512216568,THPL,point
WRC20,good,0.837165772914886,THPL,point
NM21,good,0.869279265403748,ACPL,point
NM19,good,0.795800566673279,ACPL,point
WRC21,fair,0.843080759048462,THPL,point
WRC22,fair,0.861936271190643,THPL,point
BM20,fair,0.678394138813019,ACMA,point
BM21,poor,0.644659399986267,ACMA,point
BM23,fair,0.741365432739258,ACMA,point
BM22,poor,0.623603582382202,ACMA,point
NM30,good,0.834042191505432,ACPL,point
NM28,good,0.84515917301178,ACPL,point
NM29,good,0.853608429431915,ACPL,point
WRC33,poor,0.782382249832153,THPL,point
WRC32,fair,0.795041859149933,THPL,point
NM31,good,0.764955341815948,ACPL,point
BM15B,poor,0.719763159751892,ACMA,point
BM17,poor,0.663328766822815,ACMA,point
BM16,fair,0.747854590415955,ACMA,point
DF18,fair,0.798341929912567,PSME,point
DF17,poor,0.807190477848053,PSME,point
DF16,fair,0.828954815864563,PSME,point
WRC14,fair,0.719656944274902,THPL,point
WRC15,poor,0.789396941661835,THPL,point
DF29,fair,0.760398983955383,PSME,point
BM34,fair,0.679007470607758,ACMA,point
WRC5,good,0.880280613899231,THPL,point
DF6,fair,0.764004349708557,PSME,point
BM6,poor,0.832399547100067,ACMA,point
WRC4,poor,0.812800645828247,THPL,point
DF7,good,0.821843504905701,PSME,point
BM7,poor,0.844691038131714,ACMA,point
NM6,fair,0.884069919586182,ACPL,point
NM5,good,0.869056642055511,ACPL,point
WRC1,fair,0.885773539543152,THPL,point
NM1,NA,0.847662746906281,ACPL,point
BM2,NA,0.88607919216156,ACMA,point
BM1,NA,0.88999879360199,ACMA,point
DF2,fair,0.854156970977783,PSME,point
DF1,NA,0.883539080619812,PSME,point
NM2,good,0.893571317195892,ACPL,point
WRC2,fair,0.846804141998291,THPL,point
BM31,fair,0.660574913024902,ACMA,point
WRC31,fair,0.700488567352295,THPL,point
DF27,good,0.777689456939697,PSME,point
DF26,good,0.69927591085434,PSME,point
WRC30,fair,0.676705241203308,THPL,point
WRC28,fair,0.70988917350769,THPL,point
NM24,fair,0.623641014099121,ACPL,point
BM30,fair,0.6504927277565,ACMA,point
NM26,poor,0.779334723949432,ACPL,point
NM25,fair,0.787808179855347,ACPL,point
BM29,fair,0.807811975479126,ACMA,point
DF9,fair,0.805190086364746,PSME,point
DF8,fair,0.767490267753601,PSME,point
NM7,fair,0.790648281574249,ACPL,point
WRC7,fair,0.79277104139328,THPL,point
WRC6,fair,0.736299633979797,THPL,point
DF10,fair,0.698293924331665,PSME,point
BM11,good,0.872151672840118,ACMA,point
BM10,good,0.825961410999298,ACMA,point
WRC9,good,0.867986738681793,THPL,point
NM10,fair,0.785877525806427,ACPL,point
NM9,fair,0.733844876289368,ACPL,point
DF11,good,0.785543859004974,PSME,point
BM9,fair,0.78174215555191,ACMA,point
BM8,fair,0.729739248752594,ACMA,point
NM8,poor,0.682137370109558,ACPL,point
WRC8,fair,0.805735886096954,THPL,point
WRC24,poor,0.762445867061615,THPL,point
BM24,fair,0.78301328420639,ACMA,point
DF23,fair,0.770713746547699,PSME,point
NM23,fair,0.79897677898407,ACPL,point
WRC25,fair,0.643503546714783,THPL,point
DF25,fair,0.728129029273987,PSME,point
DF24,fair,0.755476295948029,PSME,point
BM25,fair,0.70117974281311,ACMA,point
DF30,fair,0.763011574745178,PSME,point
BM26,good,0.718793153762817,ACMA,point
WRC26,fair,0.766341328620911,THPL,point
WRC27,poor,0.792228937149048,THPL,point
NM32,fair,0.677742183208466,ACPL,point
NM33,good,0.583958566188812,ACPL,point
NM34,good,0.569642126560211,ACPL,point
BM27,fair,0.675510168075562,ACMA,point
NM12,fair,0.761259615421295,ACPL,point
DF13,fair,0.759964406490326,PSME,point
NM11,good,0.79453718662262,ACPL,point
DF12,fair,0.757784307003021,PSME,point
DF14,fair,0.699278235435486,PSME,point
DF15,fair,0.651229023933411,PSME,point
WRC13,fair,0.653886497020721,THPL,point
NM13,good,0.739644706249237,ACPL,point
NM14,fair,0.773771107196808,ACPL,point
WRC10,fair,0.742984712123871,THPL,point
WRC11,fair,0.729156732559204,THPL,point
BM12,fair,0.814161241054535,ACMA,point
BM14,fair,0.7230064868927,ACMA,point
BM13,fair,0.88513457775116,ACMA,point
BM15,poor,0.745151817798615,ACMA,point
NM17,fair,0.851395606994629,ACPL,point
NM15,fair,0.811923563480377,ACPL,point
NM16,good,0.831114828586578,ACPL,point
DF20,fair,0.769352078437805,PSME,point
DF19,fair,0.809004187583923,PSME,point
WRC17,fair,0.678491532802582,THPL,point
WRC19,fair,0.71602326631546,THPL,point
NM18,good,0.777049660682678,ACPL,point
BM19,good,0.747484803199768,ACMA,point
BM18,fair,0.835751891136169,ACMA,point
DF22,fair,0.64989447593689,PSME,point
DF21,fair,0.66796749830246,PSME,point
BM32,good,0.813951134681702,ACMA,point
BM32B,good,0.783730387687683,ACMA,point
